"","mean_bias","pixel","grid","property","county","pixel.fe","grid.fe","property.fe","county.fe","treatment.fe","se_pixel","se_grid","se_property","se_county","RMSE","q05","q95","cover"
"2",0.030447656625417,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.0305307365436009,0.0269041003532545,0.0346580377617359,0
"3",-0.00232449455715314,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.00366524810512619,-0.00664384025640839,0.00253555211697784,0.87
"4",-0.00232449455715314,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0.00366524810512619,-0.00664384025640839,0.00253555211697784,0.86
"5",-0.00232449455715314,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.00366524810512619,-0.00664384025640839,0.00253555211697784,0.875
"6",-0.00232449455715314,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.00366524810512619,-0.00664384025640839,0.00253555211697784,0.84
"7",-0.00123766694312179,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.00375428456032174,-0.00686722944019348,0.00491253383899195,0.95
"8",-0.00148943877342978,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.00523454163126375,-0.00990857868884901,0.00660581790893675,0.915
"9",-0.00149829804619055,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00382448322916564,-0.00692907092411592,0.00472496817610301,0.93
"10",-0.00217035568890064,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.00356300178174808,-0.00651551595251284,0.00269580508010583,0.875
"11",-0.00224734984694238,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.00361040237727563,-0.00658648475909923,0.00266022419672477,0.86
"12",-0.00228097842884549,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00363406733483099,-0.00657828310346244,0.00256972160766816,0.84
